time,p
3.8082,10000.0000000001
3.8083,10000.0000000001
3.8084,10000.0000000001
3.8085,10000.0000000001
3.8086,10000.0000000002
3.8087,10000.0000000002
3.8088,10000.0000000002
3.8089,10000.0000000002
3.809,10000.0000000002
3.8091,10000.0000000002
3.8092,10000.0000000002
3.8093,10000.0000000002
3.8094,10000.0000000002
3.8095,10000.0000000002
3.8096,10000.0000000002
3.8097,10000.0000000002
3.8098,10000.0000000002
3.8099,10000.0000000002
3.81,10000.0000000002
3.8101,10000.0000000002
3.8102,10000.0000000002
3.8103,10000.0000000002
3.8104,10000.0000000002
3.8105,10000.0000000001
3.8106,10000.0000000001
3.8107,10000.0000000001
3.8108,10000.0000000001
3.8109,10000.0000000001
3.811,10000.0000000001
3.8111,10000.0000000001
3.8112,10000.0000000001
3.8113,10000.0000000001
3.8114,10000
3.8115,10000
3.8116,10000
3.8117,10000
3.8118,9999.99999999999
3.8119,9999.99999999998
3.812,9999.99999999996
3.8121,9999.99999999995
3.8122,9999.99999999993
3.8123,9999.99999999991
3.8124,9999.99999999989
3.8125,9999.99999999988
3.8126,9999.99999999985
3.8127,9999.99999999983
3.8128,9999.99999999981
3.8129,9999.99999999979
3.813,9999.9999999998
3.8131,9999.99999999979
3.8132,9999.99999999979
3.8133,9999.99999999979
3.8134,9999.99999999979
3.8135,9999.99999999979
3.8136,9999.99999999978
3.8137,9999.99999999977
3.8138,9999.99999999977
3.8139,9999.99999999979
3.814,9999.99999999978
3.8141,9999.9999999998
3.8142,9999.99999999981
3.8143,9999.9999999998
3.8144,9999.99999999981
3.8145,9999.99999999983
3.8146,9999.99999999984
3.8147,9999.99999999986
3.8148,9999.99999999987
3.8149,9999.99999999988
3.815,9999.99999999989
3.8151,9999.9999999999
3.8152,9999.99999999991
3.8153,9999.99999999992
3.8154,9999.99999999993
3.8155,9999.99999999994
3.8156,9999.99999999996
3.8157,9999.99999999997
3.8158,9999.99999999998
3.8159,9999.99999999999
3.816,10000
3.8161,10000
3.8162,10000
3.8163,10000
3.8164,10000.0000000001
3.8165,10000.0000000001
3.8166,10000.0000000001
3.8167,10000.0000000001
3.8168,10000.0000000001
3.8169,10000.0000000002
3.817,10000.0000000002
3.8171,10000.0000000002
3.8172,10000.0000000002
3.8173,10000.0000000002
3.8174,10000.0000000002
3.8175,10000.0000000002
3.8176,10000.0000000002
3.8177,10000.0000000002
3.8178,10000.0000000002
3.8179,10000.0000000002
3.818,10000.0000000002
3.8181,10000.0000000002
3.8182,10000.0000000002
3.8183,10000.0000000002
3.8184,10000.0000000002
3.8185,10000.0000000002
3.8186,10000.0000000002
3.8187,10000.0000000002
3.8188,10000.0000000001
3.8189,10000.0000000001
3.819,10000.0000000001
3.8191,10000.0000000001
3.8192,10000.0000000001
3.8193,10000.0000000001
3.8194,10000.0000000001
3.8195,10000.0000000001
3.8196,10000.0000000001
3.8197,10000
3.8198,10000
3.8199,10000
3.82,10000
3.8201,9999.99999999999
3.8202,9999.99999999998
3.8203,9999.99999999997
3.8204,9999.99999999995
3.8205,9999.99999999994
3.8206,9999.99999999992
3.8207,9999.9999999999
3.8208,9999.99999999988
3.8209,9999.99999999986
3.821,9999.99999999984
3.8211,9999.99999999982
3.8212,9999.9999999998
3.8213,9999.9999999998
3.8214,9999.99999999979
3.8215,9999.99999999979
3.8216,9999.99999999978
3.8217,9999.99999999978
3.8218,9999.99999999978
3.8219,9999.99999999977
3.822,9999.99999999976
3.8221,9999.99999999978
3.8222,9999.99999999977
3.8223,9999.99999999979
3.8224,9999.99999999978
3.8225,9999.9999999998
3.8226,9999.99999999982
3.8227,9999.99999999983
3.8228,9999.99999999985
3.8229,9999.99999999986
3.823,9999.99999999986
3.8231,9999.99999999988
3.8232,9999.99999999989
3.8233,9999.9999999999
3.8234,9999.99999999991
3.8235,9999.99999999992
3.8236,9999.99999999993
3.8237,9999.99999999994
3.8238,9999.99999999995
3.8239,9999.99999999996
3.824,9999.99999999997
3.8241,9999.99999999998
3.8242,9999.99999999999
3.8243,10000
3.8244,10000
3.8245,10000
3.8246,10000.0000000001
3.8247,10000.0000000001
3.8248,10000.0000000001
3.8249,10000.0000000001
3.825,10000.0000000001
3.8251,10000.0000000001
3.8252,10000.0000000002
3.8253,10000.0000000002
3.8254,10000.0000000002
3.8255,10000.0000000002
3.8256,10000.0000000002
3.8257,10000.0000000002
3.8258,10000.0000000002
3.8259,10000.0000000002
3.826,10000.0000000002
3.8261,10000.0000000002
3.8262,10000.0000000002
3.8263,10000.0000000002
3.8264,10000.0000000002
3.8265,10000.0000000002
3.8266,10000.0000000002
3.8267,10000.0000000002
3.8268,10000.0000000002
3.8269,10000.0000000002
3.827,10000.0000000002
3.8271,10000.0000000002
3.8272,10000.0000000002
3.8273,10000.0000000001
3.8274,10000.0000000001
3.8275,10000.0000000001
3.8276,10000.0000000001
3.8277,10000.0000000001
3.8278,10000.0000000001
3.8279,10000.0000000001
3.828,10000.0000000001
3.8281,10000
3.8282,10000
3.8283,10000
3.8284,10000
3.8285,10000
3.8286,9999.99999999998
3.8287,9999.99999999997
3.8288,9999.99999999995
3.8289,9999.99999999994
3.829,9999.99999999992
3.8291,9999.9999999999
