time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.122,0.0068,0.0046,0.8617,0.1129,-0.9746,0.043556949721,-0.005057825693,-0.038499124029,6.8,4.6
11.123,0.0068,0.0046,0.5641,0.5015,-1.0656,0.033162774974,0.013043801788,-0.046206576762,6.8,4.6
11.124,0.0068,0.0046,0.1844,0.8173,-1.0016,0.01794648112,0.02924867717,-0.04719515829,6.8,4.6
11.125,0.0068,0.0046,-0.2222,1.0142,-0.792,0.000120667652,0.041200474158,-0.04132114181,6.8,4.6
11.126,0.0068,0.0046,-0.5964,1.0636,-0.4672,-0.017722624293,0.047161308286,-0.029438683994,6.8,4.6
11.127,0.0068,0.0046,-0.8839,0.9584,-0.0745,-0.032988818835,0.046264439738,-0.013275620903,6.8,4.6
11.128,0.0068,0.0046,-1.0428,0.7138,0.329,-0.043458080515,0.038640303598,0.004817776917,6.8,4.6
11.129,0.0068,0.0046,-1.0502,0.3654,0.6848,-0.04760809802,0.025397541115,0.022210556905,6.8,4.6
11.13,0.0068,0.0046,-0.9048,-0.0361,0.9409,-0.044835440798,0.008461790898,0.0363736499,6.8,4.6
11.131,0.0068,0.0046,-0.6279,-0.4324,1.0602,-0.035543301474,-0.009704318656,0.04524762013,6.8,4.6
11.132,0.0068,0.0046,-0.2596,-0.7658,1.0254,-0.021082865827,-0.02645925967,0.047542125497,6.8,4.6
11.133,0.0068,0.0046,0.1464,-0.9878,0.8415,-0.003556835746,-0.039366708626,0.042923544372,6.8,4.6
11.134,0.0068,0.0046,0.5311,-1.0662,0.5352,0.014486325799,-0.046549811079,0.03206348528,6.8,4.6
11.135,0.0068,0.0046,0.8386,-0.9896,0.151,0.030422966831,-0.046964092877,0.016541126046,6.8,4.6
11.136,0.0068,0.0046,1.0241,-0.7691,-0.255,0.041935750826,-0.040549335196,-0.00138641563,6.8,4.6
11.137,0.0068,0.0046,1.0607,-0.4367,-0.624,0.047350619798,-0.028238329062,-0.019112290736,6.8,4.6
11.138,0.0068,0.0046,0.9431,-0.0408,-0.9023,0.04588021775,-0.011821236189,-0.034058981562,6.8,4.6
11.139,0.0068,0.0046,0.6884,0.361,-1.0494,0.037738378174,0.006314720459,-0.044053098633,6.8,4.6
11.14,0.0068,0.0046,0.3335,0.7103,-1.0438,0.024109028287,0.023532384207,-0.047641412494,6.8,4.6
11.141,0.0068,0.0046,-0.0698,0.9563,-0.8865,0.006974031942,0.037328134498,-0.044302166439,6.8,4.6
11.142,0.0068,0.0046,-0.463,1.0633,-0.6003,-0.011174995183,0.045695938599,-0.034520943416,6.8,4.6
11.143,0.0068,0.0046,-0.7889,1.0157,-0.2268,-0.027698993468,0.047419048828,-0.01972005536,6.8,4.6
11.144,0.0068,0.0046,-1.0001,0.8203,0.1797,-0.040195206672,0.042246928549,-0.002051721878,6.8,4.6
11.145,0.0068,0.0046,-1.0658,0.5057,0.5601,-0.046846567164,0.030931680623,0.015914886542,6.8,4.6
