All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0483,-0.8584,-0.1177,0.9760
11.0484,-0.8336,-0.1582,0.9918
11.0485,-0.8076,-0.1985,1.0061
11.0486,-0.7804,-0.2386,1.0190
11.0487,-0.7521,-0.2783,1.0303
11.0488,-0.7226,-0.3175,1.0401
11.0489,-0.6919,-0.3564,1.0483
11.0490,-0.6659,-0.3880,1.0539
11.0491,-0.6496,-0.4070,1.0566
11.0491,-0.6275,-0.4321,1.0596
11.0492,-0.5939,-0.4692,1.0631
11.0493,-0.5596,-0.5056,1.0652
11.0494,-0.5245,-0.5412,1.0656
11.0495,-0.4885,-0.5761,1.0646
11.0496,-0.4519,-0.6101,1.0620
11.0497,-0.4146,-0.6432,1.0578
11.0498,-0.3766,-0.6754,1.0520
11.0499,-0.3381,-0.7066,1.0446
11.0500,-0.3059,-0.7314,1.0374
11.0501,-0.2860,-0.7461,1.0322
11.0501,-0.2595,-0.7653,1.0248
11.0502,-0.2196,-0.7932,1.0128
11.0503,-0.1795,-0.8199,0.9994
11.0504,-0.1391,-0.8455,0.9845
11.0505,-0.0985,-0.8698,0.9683
11.0506,-0.0577,-0.8930,0.9506
11.0507,-0.0168,-0.9147,0.9315
11.0508,0.0241,-0.9350,0.9110
11.0509,0.0650,-0.9540,0.8890
11.0510,0.0986,-0.9686,0.8700
11.0511,0.1191,-0.9768,0.8577
11.0511,0.1463,-0.9872,0.8410
11.0512,0.1867,-1.0019,0.8152
11.0513,0.2268,-1.0151,0.7883
11.0514,0.2665,-1.0268,0.7603
11.0515,0.3060,-1.0371,0.7312
11.0516,0.3450,-1.0459,0.7010
11.0517,0.3834,-1.0531,0.6697
11.0518,0.4213,-1.0587,0.6375
11.0519,0.4586,-1.0627,0.6042
11.0520,0.4888,-1.0649,0.5761
11.0521,0.5069,-1.0654,0.5585
11.0521,0.5307,-1.0656,0.5349
11.0522,0.5658,-1.0649,0.4991
11.0523,0.6000,-1.0627,0.4626
11.0524,0.6334,-1.0589,0.4255
11.0525,0.6659,-1.0536,0.3878
11.0526,0.6974,-1.0468,0.3494
11.0527,0.7279,-1.0385,0.3106
11.0528,0.7572,-1.0285,0.2713
11.0529,0.7855,-1.0170,0.2315
11.0530,0.8079,-1.0063,0.1985
11.0531,0.8210,-0.9991,0.1781
11.0531,0.8380,-0.9890,0.1510
11.0532,0.8627,-0.9730,0.1104
11.0533,0.8861,-0.9557,0.0697
11.0534,0.9081,-0.9370,0.0289
11.0535,0.9290,-0.9169,-0.0120
11.0536,0.9485,-0.8955,-0.0529
11.0537,0.9665,-0.8728,-0.0937
11.0538,0.9831,-0.8487,-0.1344
11.0539,0.9982,-0.8233,-0.1749
11.0540,1.0095,-0.8015,-0.2080
11.0541,1.0157,-0.7875,-0.2282
11.0541,1.0235,-0.7686,-0.2548
11.0542,1.0341,-0.7397,-0.2944
11.0543,1.0432,-0.7098,-0.3334
11.0544,1.0509,-0.6788,-0.3720
11.0545,1.0570,-0.6469,-0.4101
11.0546,1.0616,-0.6140,-0.4476
11.0547,1.0646,-0.5802,-0.4844
11.0548,1.0660,-0.5455,-0.5205
11.0549,1.0657,-0.5099,-0.5558
11.0550,1.0644,-0.4801,-0.5843
11.0551,1.0627,-0.4615,-0.6013
11.0551,1.0601,-0.4365,-0.6236
11.0552,1.0552,-0.3989,-0.6563
11.0553,1.0487,-0.3607,-0.6881
11.0554,1.0408,-0.3220,-0.7188
11.0555,1.0313,-0.2828,-0.7485
11.0556,1.0204,-0.2432,-0.7772
11.0557,1.0079,-0.2033,-0.8047
11.0558,0.9939,-0.1630,-0.8309
11.0559,0.9783,-0.1224,-0.8559
11.0560,0.9645,-0.0889,-0.8756
11.0561,0.9553,-0.0683,-0.8870
11.0561,0.9426,-0.0409,-0.9017
11.0562,0.9228,0.0000,-0.9228
11.0563,0.9017,0.0409,-0.9426
11.0564,0.8794,0.0817,-0.9610
11.0565,0.8557,0.1224,-0.9781
11.0566,0.8308,0.1630,-0.9938
11.0567,0.8047,0.2032,-1.0079
11.0568,0.7773,0.2432,-1.0205
11.0569,0.7487,0.2829,-1.0316
11.0570,0.7243,0.3153,-1.0396
11.0571,0.7089,0.3348,-1.0437
11.0571,0.6880,0.3607,-1.0487
11.0572,0.6563,0.3989,-1.0552
11.0573,0.6236,0.4365,-1.0601
11.0574,0.5901,0.4735,-1.0636
11.0575,0.5557,0.5098,-1.0655
11.0576,0.5204,0.5454,-1.0659
11.0577,0.4844,0.5802,-1.0646
11.0578,0.4477,0.6141,-1.0617
11.0579,0.4102,0.6471,-1.0573
